Title	URL	Assignees	Status
Add a tag for code review	https://github.com/amosproj/amos2024ws04-personalized-play/issues/120	AnnaH3003	Done
Sharper prioritization of tickets	https://github.com/amosproj/amos2024ws04-personalized-play/issues/74	AnnaH3003	Done
Record unforeseen technical issues or problems in the Discord dev channel	https://github.com/amosproj/amos2024ws04-personalized-play/issues/25	AnnaH3003	Done
Participation of SD in meeting with the IP	https://github.com/amosproj/amos2024ws04-personalized-play/issues/15	AnnaH3003	Done
Scheduling of a separate SD meeting	https://github.com/amosproj/amos2024ws04-personalized-play/issues/14		Done
Set up an additional meeting to gather SD's feedback on sprint planning	https://github.com/amosproj/amos2024ws04-personalized-play/issues/38	AnnaH3003	Done
Help each other via communication in discord	https://github.com/amosproj/amos2024ws04-personalized-play/issues/26	AnnaH3003	Done
SDs meet to distribute the tasks right after the joint team meeting	https://github.com/amosproj/amos2024ws04-personalized-play/issues/41	AnnaH3003	Done
Adhere to our 24-hour response policy in Discord	https://github.com/amosproj/amos2024ws04-personalized-play/issues/42	AnnaH3003	Done
Inform other SD via discord when a task is finished	https://github.com/amosproj/amos2024ws04-personalized-play/issues/37	AnnaH3003	In Progress
Including the QR-Code to the latest built environment in the release comments	https://github.com/amosproj/amos2024ws04-personalized-play/issues/121	AnnaH3003	In Progress
Submit PRs ideally by Sunday evening	https://github.com/amosproj/amos2024ws04-personalized-play/issues/123	AnnaH3003	In Progress
Assigning same dev(s) for UI and logic for a given feature	https://github.com/amosproj/amos2024ws04-personalized-play/issues/124	AnnaH3003	In Progress
Scheduling new time slot for sprint refinement meeting	https://github.com/amosproj/amos2024ws04-personalized-play/issues/125	AnnaH3003	In Progress
