Title	URL	Sprint	Estimated	Real	Linked pull requests	Priority	Labels
[Testing] Complete testing of the playtime session flow	https://github.com/amosproj/amos2024ws04-personalized-play/issues/145	Sprint-11				3 (low priority)	playtime-session, testing
[Playtime Session] Implement DaVoice input functionality for hot keywords	https://github.com/amosproj/amos2024ws04-personalized-play/issues/95	Sprint-11				3 (low priority)	dev-work, playtime-session, wontfix
Create robots.txt file to hide source code from search engines	https://github.com/amosproj/amos2024ws04-personalized-play/issues/147	Sprint-11				3 (low priority)	dev-work
Update SBoM with the latest dependencies	https://github.com/amosproj/amos2024ws04-personalized-play/issues/148	Sprint-12				3 (low priority)	deliverables
Update user documentation (user manual) in the project's wiki	https://github.com/amosproj/amos2024ws04-personalized-play/issues/149	Sprint-12	⏰ Est. 3			3 (low priority)	deliverables, documentation, PO-work
[Testing] Complete testing of the feedback flow after session	https://github.com/amosproj/amos2024ws04-personalized-play/issues/151						testing
[Testing] Complete testing of the home screen (including start play from home screen)	https://github.com/amosproj/amos2024ws04-personalized-play/issues/152						testing
[Testing] Complete testing of the profile screen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/154						testing
[Testing] Complete testing of the history + favorites screen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/153						testing
Update technical documentation in the project's wiki	https://github.com/amosproj/amos2024ws04-personalized-play/issues/150	Sprint-12				3 (low priority)	deliverables, documentation, PO-work
[Profile screen] Add new child info through the profile screen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/132	Sprint-10	⏰ Est. 3			1 (high priority)	dev-work
[Playtime session] Add button in UI to re-generate an activity	https://github.com/amosproj/amos2024ws04-personalized-play/issues/146	Sprint-10				1 (high priority)	dev-work, playtime-session
[Refactor] Improvements to the playtime session suggestion	https://github.com/amosproj/amos2024ws04-personalized-play/issues/144	Sprint-10				2 (medium priority)	playtime-session, refactor
[Refactor] Remove 'Good to go' button from the UI	https://github.com/amosproj/amos2024ws04-personalized-play/issues/142	Sprint-10				2 (medium priority)	onboarding-user, refactor
[Refactor] Display info popup when setting the slider of Duration to max	https://github.com/amosproj/amos2024ws04-personalized-play/issues/143	Sprint-10				2 (medium priority)	onboarding-user, refactor
[Testing] Complete testing of authentication flow	https://github.com/amosproj/amos2024ws04-personalized-play/issues/138	Sprint-10				2 (medium priority)	authentication, testing
[Testing] Complete testing of onboarding flow	https://github.com/amosproj/amos2024ws04-personalized-play/issues/141	Sprint-10				2 (medium priority)	onboarding-user, testing
[Refactor] Fixes in the 'Take a picture' step in the Onboarding	https://github.com/amosproj/amos2024ws04-personalized-play/issues/140	Sprint-10				1 (high priority)	onboarding-user, refactor
[Refactor]  General fixes of the Onboarding component	https://github.com/amosproj/amos2024ws04-personalized-play/issues/139	Sprint-10				1 (high priority)	onboarding-user, refactor
[Home Screen] Create the UI for home screen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/92	Sprint-7	⏰ Est. 5			1 (high priority)	dev-work, home-screen
[Profile screen] Create screen for user profile	https://github.com/amosproj/amos2024ws04-personalized-play/issues/105	Sprint-9	⏰ Est. 5			1 (high priority)	dev-work
[Research] Explore how can we implement real-time voice input functionality	https://github.com/amosproj/amos2024ws04-personalized-play/issues/119	Sprint-9				2 (medium priority)	dev-work
[Playtime Ends] Save feedback for each activity in the database	https://github.com/amosproj/amos2024ws04-personalized-play/issues/108	Sprint-7	⏰ Est. 3	🕒 RL. 2		2 (medium priority)	dev-work, playtime-session
[Playtime ends] Create UI for the user to explore more science-backed info related to activity 	https://github.com/amosproj/amos2024ws04-personalized-play/issues/106	Sprint-8	⏰ Est. 3	🕒 RL. 2		1 (high priority)	dev-work
[Favorites] Create UI to show all saved/added to favorites activities	https://github.com/amosproj/amos2024ws04-personalized-play/issues/93	Sprint-7	⏰ Est. 3			3 (low priority)	dev-work
[Playtime Session] Start a favourite activity by clicking 'Replay'	https://github.com/amosproj/amos2024ws04-personalized-play/issues/109	Sprint-8	⏰ Est. 3			3 (low priority)	dev-work
[playtime Session] select kids for new playtime session	https://github.com/amosproj/amos2024ws04-personalized-play/issues/118	Sprint-8	⏰ Est. 3			2 (medium priority)	
[Playtime session] Implement 'Stop' button functionality	https://github.com/amosproj/amos2024ws04-personalized-play/issues/98	Sprint-7	⏰ Est. 3	🕒 RL. 1		1 (high priority)	dev-work, playtime-session
[Playtime session] Implement action buttons in the playtime session	https://github.com/amosproj/amos2024ws04-personalized-play/issues/129	Sprint-9				1 (high priority)	dev-work
Implement screen to display the history of playtime sessions	https://github.com/amosproj/amos2024ws04-personalized-play/issues/130	Sprint-9	⏰ Est. 3			2 (medium priority)	dev-work
 [Profile screen] Setup user logout	https://github.com/amosproj/amos2024ws04-personalized-play/issues/10	Sprint-9	⏰ Est. 2	🕒 RL. 0		1 (high priority)	authentication, dev-work
[Onboarding flow] Add dropdown to select type of chore	https://github.com/amosproj/amos2024ws04-personalized-play/issues/78	Sprint-9	⏰ Est. 3			3 (low priority)	dev-work, onboarding-user
[Playtime session]  Create UI for Playtime session screeen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/90	Sprint-7	⏰ Est. 2			1 (high priority)	dev-work, playtime-session
[Playtime session] Integrate Generative AI agent for activity instructions	https://github.com/amosproj/amos2024ws04-personalized-play/issues/97	Sprint-8	⏰ Est. 13			1 (high priority)	dev-work, playtime-session
[Playtime Session] Start new play from the home screen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/104	Sprint-8	⏰ Est. 5	🕒 RL. 5		2 (medium priority)	dev-work, playtime-session
[Favorites] Update details for saved/added to favorites playtime activities	https://github.com/amosproj/amos2024ws04-personalized-play/issues/111	Sprint-8	⏰ Est. 5	🕒 RL. 8		2 (medium priority)	dev-work
[Playtime Ends] 'Add to favorites' functionality after an activity session ends	https://github.com/amosproj/amos2024ws04-personalized-play/issues/110	Sprint-7	⏰ Est. 5	🕒 RL. 3		2 (medium priority)	dev-work
[Playtime Session] Set-up multi-agent models with Genkit	https://github.com/amosproj/amos2024ws04-personalized-play/issues/96	Sprint-7	⏰ Est. 8	🕒 RL. 8		1 (high priority)	dev-work, playtime-session, Reviewed by Vivek Rudani
Improve UI for [energy level] question	https://github.com/amosproj/amos2024ws04-personalized-play/issues/57	Sprint-5	⏰ Est. 3	🕒 RL. 2			design-ui-ux, dev-work, enhancement
Improve UI for [type of play] question	https://github.com/amosproj/amos2024ws04-personalized-play/issues/59	Sprint-5	⏰ Est. 2	🕒 RL. 2			design-ui-ux, dev-work, enhancement
Clean-up and finish mid-project release plan	https://github.com/amosproj/amos2024ws04-personalized-play/issues/63	Sprint-6	⏰ Est. 2	🕒 RL. 2			deliverables, PO-work
[Onboarding flow] Display items identified when taking a picture	https://github.com/amosproj/amos2024ws04-personalized-play/issues/89	Sprint-6	⏰ Est. 8	🕒 RL. 8		1 (high priority)	dev-work, onboarding-user, Reviewed by Preet Vadaliya
Save the user data in the Firebase database	https://github.com/amosproj/amos2024ws04-personalized-play/issues/77	Sprint-6	⏰ Est. 3	🕒 RL. 5		1 (high priority)	dev-work, Reviewed by Preet Vadaliya
[Onboarding flow] Create UI [health consideration] question in the onboarding flow	https://github.com/amosproj/amos2024ws04-personalized-play/issues/80	Sprint-6	⏰ Est. 5	🕒 RL. 5		1 (high priority)	dev-work, onboarding-user
[Onboarding flow] Create UI for [items at hand] question of the onboarding flow	https://github.com/amosproj/amos2024ws04-personalized-play/issues/24	Sprint-6	⏰ Est. 5	🕒 RL. 5		1 (high priority)	dev-work, onboarding-user
Improve UI for ‘Sign in’ screen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/33	Sprint-5	⏰ Est. 3	🕒 RL. 2			design-ui-ux, dev-work, enhancement
Improve UI for 'Sign up' screen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/52	Sprint-5	⏰ Est. 3	🕒 RL. 2			design-ui-ux, dev-work, enhancement
Display 'Welcome' screen only for first-time users	https://github.com/amosproj/amos2024ws04-personalized-play/issues/61	Sprint-5	⏰ Est. 5	🕒 RL. 3			dev-work, enhancement
[Deliverables] Tag code with mid-project-release	https://github.com/amosproj/amos2024ws04-personalized-play/issues/65	Sprint-5	⏰ Est. 1	🕒 RL. 1			deliverables, dev-work
Update primary and secondary colors in the global configuration	https://github.com/amosproj/amos2024ws04-personalized-play/issues/45	Sprint-4	⏰ Est. 2	🕒 RL. 2			design-ui-ux, dev-work
Improve UI for [duration] question	https://github.com/amosproj/amos2024ws04-personalized-play/issues/58	Sprint-5	⏰ Est. 2	🕒 RL. 2			design-ui-ux, dev-work, enhancement
Improve UI for [nr of kids] question	https://github.com/amosproj/amos2024ws04-personalized-play/issues/54	Sprint-5	⏰ Est. 2	🕒 RL. 2			design-ui-ux, dev-work, enhancement
Improve UI for 'Welcome' screen	https://github.com/amosproj/amos2024ws04-personalized-play/issues/53	Sprint-5	⏰ Est. 2	🕒 RL. 2			design-ui-ux, dev-work, enhancement
Technical refactor of the Onboarding flow	https://github.com/amosproj/amos2024ws04-personalized-play/issues/46	Sprint-5		🕒 RL. 3			dev-work, enhancement
Create and improve UI for new screen [name of the user]	https://github.com/amosproj/amos2024ws04-personalized-play/issues/79	Sprint-6	⏰ Est. 3	🕒 RL. 2			dev-work, onboarding-user
Use Gemini API to identify the items on the picture taken	https://github.com/amosproj/amos2024ws04-personalized-play/issues/81	Sprint-6	⏰ Est. 8	🕒 RL. 8		1 (high priority)	dev-work, onboarding-user
Improve UI for [age of kids] question	https://github.com/amosproj/amos2024ws04-personalized-play/issues/55	Sprint-5	⏰ Est. 2	🕒 RL. 5			design-ui-ux, dev-work, enhancement
Set the global font of the app to Inter	https://github.com/amosproj/amos2024ws04-personalized-play/issues/70	Sprint-5	⏰ Est. 5	🕒 RL. 2			design-ui-ux, dev-work, enhancement
Create project documentation	https://github.com/amosproj/amos2024ws04-personalized-play/issues/62	Sprint-5	⏰ Est. 3	🕒 RL. 3			dev-work, documentation, PO-work
[Onboarding Flow] Find Lottie animations/pictures	https://github.com/amosproj/amos2024ws04-personalized-play/issues/34	Sprint-4	⏰ Est. 3	🕒 RL. 5			enhancement, PO-work
Design team T-shirt and upload in GitHub	https://github.com/amosproj/amos2024ws04-personalized-play/issues/68	Sprint-1	⏰ Est. 2	🕒 RL. 1			deliverables, PO-work
Initialize Software Bills of Materials (SBoM)	https://github.com/amosproj/amos2024ws04-personalized-play/issues/8	Sprint-1	⏰ Est. 2	🕒 RL. 1			deliverables, dev-work, documentation
Design team logo and upload in GitHub	https://github.com/amosproj/amos2024ws04-personalized-play/issues/67	Sprint-1	⏰ Est. 2	🕒 RL. 2			deliverables, PO-work
[Playtime Ends] Create UI after playtime activity ends	https://github.com/amosproj/amos2024ws04-personalized-play/issues/91	Sprint-7	⏰ Est. 5	🕒 RL. 5		2 (medium priority)	dev-work, playtime-session
Host first meeting with MUMBI (industry partner)	https://github.com/amosproj/amos2024ws04-personalized-play/issues/66	Sprint-0	⏰ Est. 1	🕒 RL. 1			deliverables, PO-work
